antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Diaper', 'Bread', 'Milk'})",frozenset({'Beer'}),0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Bread', 'Beer'})","frozenset({'Diaper', 'Milk'})",0.3,0.5,0.2,0.6666666666666667,1.3333333333333335,1.0,0.05000000000000002,1.5000000000000004,0.3571428571428573,0.3333333333333333,0.3333333333333335,0.5333333333333334
"frozenset({'Diaper', 'Milk'})",frozenset({'Beer'}),0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Beer'}),"frozenset({'Diaper', 'Milk'})",0.5,0.5,0.3,0.6,1.2,1.0,0.04999999999999999,1.25,0.33333333333333326,0.4285714285714286,0.19999999999999996,0.6
frozenset({'Bread'}),frozenset({'Milk'}),0.7,0.8,0.6,0.8571428571428572,1.0714285714285714,1.0,0.040000000000000036,1.4000000000000004,0.2222222222222224,0.6666666666666666,0.28571428571428586,0.8035714285714286
frozenset({'Milk'}),frozenset({'Bread'}),0.8,0.7,0.6,0.7499999999999999,1.0714285714285714,1.0,0.040000000000000036,1.1999999999999997,0.3333333333333337,0.6666666666666666,0.1666666666666664,0.8035714285714286
frozenset({'Coke'}),frozenset({'Beer'}),0.4,0.5,0.2,0.5,1.0,1.0,0.0,1.0,0.0,0.28571428571428575,0.0,0.45
"frozenset({'Diaper', 'Coke'})",frozenset({'Beer'}),0.4,0.5,0.2,0.5,1.0,1.0,0.0,1.0,0.0,0.28571428571428575,0.0,0.45
frozenset({'Coke'}),"frozenset({'Diaper', 'Beer'})",0.4,0.5,0.2,0.5,1.0,1.0,0.0,1.0,0.0,0.28571428571428575,0.0,0.45
"frozenset({'Beer', 'Milk'})",frozenset({'Bread'}),0.3,0.7,0.2,0.6666666666666667,0.9523809523809526,1.0,-0.009999999999999981,0.9000000000000004,-0.06666666666666655,0.25,-0.1111111111111107,0.4761904761904763
"frozenset({'Diaper', 'Beer', 'Milk'})",frozenset({'Bread'}),0.3,0.7,0.2,0.6666666666666667,0.9523809523809526,1.0,-0.009999999999999981,0.9000000000000004,-0.06666666666666655,0.25,-0.1111111111111107,0.4761904761904763
"frozenset({'Diaper', 'Coke'})",frozenset({'Milk'}),0.4,0.8,0.3,0.7499999999999999,0.9374999999999998,1.0,-0.020000000000000073,0.7999999999999995,-0.10000000000000037,0.33333333333333326,-0.25000000000000083,0.5624999999999999
frozenset({'Coke'}),frozenset({'Milk'}),0.4,0.8,0.3,0.7499999999999999,0.9374999999999998,1.0,-0.020000000000000073,0.7999999999999995,-0.10000000000000037,0.33333333333333326,-0.25000000000000083,0.5624999999999999
"frozenset({'Diaper', 'Bread'})",frozenset({'Milk'}),0.4,0.8,0.3,0.7499999999999999,0.9374999999999998,1.0,-0.020000000000000073,0.7999999999999995,-0.10000000000000037,0.33333333333333326,-0.25000000000000083,0.5624999999999999
frozenset({'Milk'}),frozenset({'Diaper'}),0.8,0.7,0.5,0.625,0.8928571428571429,1.0,-0.05999999999999994,0.8000000000000002,-0.3749999999999997,0.5,-0.2499999999999998,0.6696428571428572
frozenset({'Diaper'}),frozenset({'Milk'}),0.7,0.8,0.5,0.7142857142857143,0.8928571428571428,1.0,-0.05999999999999994,0.6999999999999998,-0.2857142857142854,0.5,-0.4285714285714288,0.6696428571428572
frozenset({'Beer'}),frozenset({'Bread'}),0.5,0.7,0.3,0.6,0.8571428571428572,1.0,-0.04999999999999999,0.7500000000000001,-0.24999999999999997,0.33333333333333337,-0.3333333333333332,0.5142857142857142
"frozenset({'Diaper', 'Beer'})",frozenset({'Bread'}),0.5,0.7,0.3,0.6,0.8571428571428572,1.0,-0.04999999999999999,0.7500000000000001,-0.24999999999999997,0.33333333333333337,-0.3333333333333332,0.5142857142857142
"frozenset({'Diaper', 'Milk'})",frozenset({'Bread'}),0.5,0.7,0.3,0.6,0.8571428571428572,1.0,-0.04999999999999999,0.7500000000000001,-0.24999999999999997,0.33333333333333337,-0.3333333333333332,0.5142857142857142
"frozenset({'Bread', 'Beer'})",frozenset({'Milk'}),0.3,0.8,0.2,0.6666666666666667,0.8333333333333334,1.0,-0.03999999999999998,0.6,-0.2222222222222221,0.2222222222222222,-0.6666666666666666,0.45833333333333337
"frozenset({'Diaper', 'Bread', 'Beer'})",frozenset({'Milk'}),0.3,0.8,0.2,0.6666666666666667,0.8333333333333334,1.0,-0.03999999999999998,0.6,-0.2222222222222221,0.2222222222222222,-0.6666666666666666,0.45833333333333337
frozenset({'Diaper'}),frozenset({'Bread'}),0.7,0.7,0.4,0.5714285714285715,0.816326530612245,1.0,-0.08999999999999991,0.7000000000000003,-0.42857142857142827,0.4000000000000001,-0.4285714285714281,0.5714285714285715
frozenset({'Bread'}),frozenset({'Diaper'}),0.7,0.7,0.4,0.5714285714285715,0.816326530612245,1.0,-0.08999999999999991,0.7000000000000003,-0.42857142857142827,0.4000000000000001,-0.4285714285714281,0.5714285714285715
frozenset({'Beer'}),frozenset({'Milk'}),0.5,0.8,0.3,0.6,0.7499999999999999,1.0,-0.10000000000000003,0.4999999999999999,-0.40000000000000013,0.3,-1.0000000000000007,0.48749999999999993
"frozenset({'Diaper', 'Beer'})",frozenset({'Milk'}),0.5,0.8,0.3,0.6,0.7499999999999999,1.0,-0.10000000000000003,0.4999999999999999,-0.40000000000000013,0.3,-1.0000000000000007,0.48749999999999993
"frozenset({'Bread', 'Milk'})",frozenset({'Diaper'}),0.6,0.7,0.3,0.5,0.7142857142857143,1.0,-0.12,0.6000000000000001,-0.5000000000000001,0.30000000000000004,-0.6666666666666664,0.4642857142857143
